id,title,description,google_product_category,product_type,link,image_link,condition,availability,price,sale_price,brand,gtin,mpn,item_group_id,color,material,size,gender,age_group,shipping_weight,expiration_date,Intended_use,sale_flag
PE406Z11BLK  4    PAIR,"Shimano | Sh51 Spd Cleats | Black | 4 Deg, Pair, Fits Sh 51","Shimano SH51 SPD Cleats Time To Clip In Ready for your next dirt adventure? Nothing compares to the feel and confidence of new cleats. The Shimano SM-SH51 Cleat Set replaces old and worn cleats to have you feeling brand new again. With 4° of float, you can swing your heel out to unclip. Replacement Shimano SH51 SPD Cleats. These cleats come standard on most Shimano SPD (mountain bike style) pedals. Features Float: 4°Fits: Shimano SPD MTB-style pedals Bolt Pattern: SPD 2-bolt pattern | Shimano | Sh51 Spd Cleats | Black | 4 Deg, Pair, Fits Sh 51",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Drivetrain Parts > Bicycle Pedals,Components > Pedals > Cleats,https://www.jensonusa.com/shimano-sh51-spd-cleats-black-4-deg-pair-fits-sh-51,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/shimano/pe406z11-black.jpg",New,in stock,27,23,Shimano,4524667073161,ISMSH51A,PE406Z11,Black,,One Size,,,,,"Cross Country, Trail / All-Mountain, Enduro",1
SN406B00BRAS 1.8  12,"Dt Swiss | Prolock Spoke Nipples 1.8 X 12Mm | Black | Brass Nipples, Box 100","Dt Swiss Prolock Spoke Nipples DT Swiss Pro Lock nipples are injected with Loctite to form a durable bond with spokes. Cold forged and machined for strength. Features32 nipples weight about 10 grams (alloy), 30 grams (brass)Options2. 0 X 14mm Alloy Black Hex Head2. 0 X 14mm Alloy Red Hex Head2. 0 X 12mm Black Brass Nipples1. 8 X 12mm Black Brass Nipples2. 0 X 12mm Black Alloy Nipples2. 0 X 16mm Black Alloy Nipples | Dt Swiss | Prolock Spoke Nipples 1. 8 X 12Mm | Black | Brass Nipples, Box 100",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Wheel Parts,Components > Wheel Parts > Spokes & Nipples,https://www.jensonusa.com/dt-swiss-prolock-spoke-nipples-20-x-12mm-black-brass-nipples-box-100,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/dt-swiss/sn406b00.jpg",New,in stock,29.79,29.63,DT Swiss,840121054502,SN406B00BRAS 1.8  12,SN406B00,Black,,One Size,,,,,,1
SE309A01BLK  316  350,Thomson | Masterpiece Setback Seatpost | Black | 31.6 X 350Mm | Aluminum,"Its the legendary Thomson Masterpiece seatpost, in a 16mm setback design for riders/frames that need offset toward the rear of the bike. Please note: Thomson does not recommend the use of shims on their seatposts. Same proven, reliable and easy to adjust 2 bolt head 100% made in the USA The Masterpiece model offers additional machining for weight savings claimed 199 grams | Thomson | Masterpiece Setback Seatpost | Black | 31. 6 X 350Mm | Aluminum",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Seatposts,Components > Seatposts > Rigid Posts,https://www.jensonusa.com/thomson-masterpiece-setback-seatpost-black-316-x-350mm,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/thomson/se309a01-black.jpg",New,in stock,169.95,,Thomson,875850002661,SE309A01BLK  316  350,SE309A01,Black,Aluminum,One Size,,,,,Road,0
SE309A01BLK  272  330,Thomson | Masterpiece Setback Seatpost | Black | 27.2 X 330Mm | Aluminum,"Its the legendary Thomson Masterpiece seatpost, in a 16mm setback design for riders/frames that need offset toward the rear of the bike. Please note: Thomson does not recommend the use of shims on their seatposts. Same proven, reliable and easy to adjust 2 bolt head 100% made in the USA The Masterpiece model offers additional machining for weight savings claimed 199 grams | Thomson | Masterpiece Setback Seatpost | Black | 27. 2 X 330Mm | Aluminum",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Seatposts,Components > Seatposts > Rigid Posts,https://www.jensonusa.com/thomson-masterpiece-setback-seatpost-black-272-x-330mm,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/thomson/se309a01-black.jpg",New,in stock,169.95,,Thomson,875850001077,SE309A01BLK  272  330,SE309A01,Black,Aluminum,One Size,,,,,Road,0
NU308D01          CAPS,Hammer Nutrition | Race Caps Supreme 90 Capsules,"Hammer Nutrition Race Caps Supreme If you're not taking Race Caps Supreme, you simply are not getting the most out of your training! Several important substrates (""spark plugs""), such as Coenzyme Q10 (Co Q10) and idebenone, are crucial for the efficient production of energy from your food and oxygen intake. Exercise rapidly depletes these important nutrients. Taking Race Caps Supreme is like putting fresh spark plugs in your body, ensuring consistent, efficient energy production. In addition, Co Q10 and idebenone, as well as other ingredients in Race Caps Supreme, are superb antioxidants and key nutrients for cardiovascular health (idebenone is considered by many experts to be an important anti-aging nutrient, perhaps the most important one yet discovered). Other suppliers offer anemic attempts at an endurance supplement, but Race Caps Supreme stands alone as a safe, comprehensive, and effective formula promoting higher energy levels, increased endurance, and improved recovery. If there's one supplement to buy, this is it. Enhance energy and endurance Reduce muscle fatigue Increase workload capacity Enhance recovery Gluten-Free and Vegan Friendly Usage: Daily consumption on non-workout days, or before, during, and after workouts. | Hammer Nutrition | Race Caps Supreme 90 Capsules",Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Accessories > Energy Food and Drinks > Supplements,https://www.jensonusa.com/hammer-nutrition-race-caps-supreme-90-capsules,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/hammer-nutrition/nu308d01.jpg",New,in stock,54.95,,Hammer Nutrition,602059511904,RCS,NU308D01,,,One Size,male,adult,,,,0
TL279B00     15   HEVY,"Park Tool | Pw-4 Pedal Wrench 15Mm, Heavy Duty","Park tool pw-4 pedal wrench The PW-4 professional pedal wrench is designed for heavy ""shop"" use. An oversized, asymmetrical head is made from Cro-Moly steel for superior strength and durability. While strong, the PW-4 is thin enough to access all wrench flats. Two 15mm wrench openings are oriented at 30 deg and 45 deg angles so the user can always achieve the best mechanical advantage, regardless of the pedal position. NOTE: Some pedals will have no wrench flats outboard of the crank. These pedals will use a hex socket fitting behind the axle. Features Two 15mm wrench openings at 30 degree and 45 degree angles for best mechanical advantage, regardless of pedal position Round vinyl dipped handle won't dig into the hand like flat wrenches Extra long 14"" handle provides the leverage to remove even the tightest pedals Related articles Pedal installation and removal Manufacturer Part No: PW-4 UPC: 763477005625 | Park Tool | Pw-4 Pedal Wrench 15Mm, Heavy Duty",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Accessories > Bicycle Tools,Accessories > Tools & Maintenance > Tools for the Shop > Pedal Tools,https://www.jensonusa.com/park-tool-pw-4-pedal-wrench-15mm-heavy-duty,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/park-tool/tl279b00.jpg",New,in stock,46.95,,Park Tool,763477005625,PW-4,TL279B00,,,One Size,,,,,,0
TL278F03BLK  18   WREN,"Park Tool | Internal Nipple Spoke Wrenches | Black | Sw-18, Internal Wrench","Park Tool SW Series Internal Nipple Spoke Wrenches Park Tool's SW Internal Nipple Spoke Wrench Series features an extra long reach (3. 25""/8. 25cm) so you can work on deep aero rims. A dual-density ergonomically-designed grip makes the screwdriver handle easy to grip. Features 5. 0, 5. 5, and 6. 0mm hex sockets Related Articles: WHEEL AND RIM TRUING Manufacturer's Part No: SW-16, SW-16. 3, SW-17, SW-18, SW-19 UPC: 763477007308, 763477007315, 763477007322, 763477007346 | Park Tool | Internal Nipple Spoke Wrenches | Black | Sw-18, Internal Wrench",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Accessories > Bicycle Tools,Accessories > Tools & Maintenance > Tools for the Shop > Wheel & Tire Tools > Spoke Wrenches,https://www.jensonusa.com/park-tool-internal-nipple-spoke-wrenches-black-sw-18-internal-wrench,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/park-tool/tl278f03blk--18---wren.jpg",New,in stock,13.95,,Park Tool,763477007322,SW-18,TL278F03,Black,,One Size,,,,,,0
TL278F03BLK  16   3,"Park Tool | Internal Nipple Spoke Wrenches | Black | Sw-16.3, Internal Wrench","Park Tool SW Series Internal Nipple Spoke Wrenches Park Tool's SW Internal Nipple Spoke Wrench Series features an extra long reach (3. 25""/8. 25cm) so you can work on deep aero rims. A dual-density ergonomically-designed grip makes the screwdriver handle easy to grip. Features 5. 0, 5. 5, and 6. 0mm hex sockets Related Articles: WHEEL AND RIM TRUING Manufacturer's Part No: SW-16, SW-16. 3, SW-17, SW-18, SW-19 UPC: 763477007308, 763477007315, 763477007322, 763477007346 | Park Tool | Internal Nipple Spoke Wrenches | Black | Sw-16. 3, Internal Wrench",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Accessories > Bicycle Tools,Accessories > Tools & Maintenance > Tools for the Shop > Wheel & Tire Tools > Spoke Wrenches,https://www.jensonusa.com/park-tool-internal-nipple-spoke-wrenches-black-sw-163-internal-wrench,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/park-tool/tl278f03blk--16---3.jpg",New,in stock,13.95,,Park Tool,763477007278,SW-16.3,TL278F03,Black,,One Size,,,,,,0
BB277D00BLK  68   STAI,"Hope Technology | 68/73Mm 24Mm Bottom Bracket | Black | 68/73Mm, Stainless Steel","Hope Stainless Steel Bottom Bracket Keep your Hollow Tech II or Race Face X-type crank spinning smooth and fast by installing a Hope bottom bracket. Only the finest materials are use to create this amazing product, materials such as stainless steel bearings and cnc machined anodized alloy cups. CNC machined in Barnoldswick, England Custom stainless steel and ceramic bearings by INA of Switzerland Internal and external sealing Approximate weight 118 grams Compatible with Shimano Hollowtech II mountain cranksets(XTR, XT, LX, SLX, ect. ) and Race Face X-type cranksets 68 or 73mm bottom bracket shell | Hope Technology | 68/73Mm 24Mm Bottom Bracket | Black | 68/73Mm, Stainless Steel",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Drivetrain Parts > Bicycle Bottom Brackets,Components > Drivetrain > Bottom Brackets > Threaded,https://www.jensonusa.com/hope-6873mm-24mm-bottom-bracket-2,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/hope-technology/bb277d00-black.jpg",New,in stock,130,126.99,Hope Technology,5055168021522,BBSSXCN,BB277D00,Black,,One Size,,,,,,1
TL277A00          TOOL,Park Tool | Hcw-17 Fixed Gear Lock Ring Tool Hcw-17 Tool,"Park HCW-17 Fixed Gear Lock Ring Tool The HCW-17 features two different radius hooks for a precise fit on most fixed-gear lockrings. The HCW-17 will fit rings with an outside diameter of 41 to 44mm. Also fits BMX cassette hub lockring rings with external notches Features Double sided radius hooks Sized to fit rings with an outside diameter of 41, 42, 43, and 44mm Also fits single speed cassette hubs using lockrings with external notches 11-5/8"" (29cm) in length for excellent leverage. Manufacturer's Part No: HCW-17 UPC: 763477004178 | Park Tool | Hcw-17 Fixed Gear Lock Ring Tool Hcw-17 Tool",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Accessories > Bicycle Tools,Accessories > Tools & Maintenance > Tools for the Shop > Freehub & Cog Tools,https://www.jensonusa.com/park-hcw-17-fixed-gear-lock-ring-tool-hcw-17-tool,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/park-tool/tl277a00.jpg",New,in stock,25.95,,Park Tool,763477004178,HCW-17,TL277A00,,,One Size,,,,,,0
BR261K01BLK  1700,"Shimano | Bh90-Sb Brake Hose Kit Single | Black | Sm-Bh90-Sbls 2000Mm, Saint","Shimano SM-BH90 Brake Hose Need a new brake line? This is a replacement Hose Kit for 2011 and newer Shimano Hydraulic disc brakes. This kit includes supplies for one brake. Need Shimano Mineral Oil? Shop for it here:SHIMANO MINERAL OILCompatible models include:XTR BR-M9000XTR BR-M9020XT BR-M8000SLX BR-M7000XTR BR-M980XTR BR-M988XTR BR-M985XT BR-M788XT BR-M785SLX BR-M675Deore BR-M615ZEE M645 (choose Saint SKU)Saint M820 (choose Saint SKU)Not all models may be listed. Check the service manual for your brakes to determine proper fit. Includes 1 brake hose with hydraulic fittings, compression bushings and banjo bolt2000mm in length A compatible bleed kit, bleed funnel and Shimano Mineral Brake Fluid is needed for installation. This kit does not include Shimano mineral oil and the system will need to be bled before use. | Shimano | Bh90-Sb Brake Hose Kit Single | Black | Sm-Bh90-Sbls 2000Mm, Saint",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Brake Parts,Components > Brakes & Shifters > Brake Parts & Accessories > Hydraulic Lines & Fittings,https://www.jensonusa.com/shimano-bh90-sb-brake-hose-kit-single-black-sm-bh90-sbls-2000mm-saint,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/digizuite/102353-en-br261k01-black.jpg",New,in stock,61,50,Shimano,689228319721,ISMBH90SBLSL200,BR261K01,Black,,One Size,,,,,,1
BR261K01BLK  2000,"Shimano | Bh90-Sb Brake Hose Kit Single | Black | Sm-Bh90-Sbm, 2000Mm","Shimano SM-BH90 Brake Hose Need a new brake line? This is a replacement Hose Kit for 2011 and newer Shimano Hydraulic disc brakes. This kit includes supplies for one brake. Need Shimano Mineral Oil? Shop for it here:SHIMANO MINERAL OILCompatible models include:XTR BR-M9000XTR BR-M9020XT BR-M8000SLX BR-M7000XTR BR-M980XTR BR-M988XTR BR-M985XT BR-M788XT BR-M785SLX BR-M675Deore BR-M615ZEE M645 (choose Saint SKU)Saint M820 (choose Saint SKU)Not all models may be listed. Check the service manual for your brakes to determine proper fit. Includes 1 brake hose with hydraulic fittings, compression bushings and banjo bolt2000mm in length A compatible bleed kit, bleed funnel and Shimano Mineral Brake Fluid is needed for installation. This kit does not include Shimano mineral oil and the system will need to be bled before use. | Shimano | Bh90-Sb Brake Hose Kit Single | Black | Sm-Bh90-Sbm, 2000Mm",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Brake Parts,Components > Brakes & Shifters > Brake Parts & Accessories > Hydraulic Lines & Fittings,https://www.jensonusa.com/shimano-bh90-sb-brake-hose-kit-single-black-sm-bh90-sbm-2000mm,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/digizuite/107425-en-br261k01_silverbanjo.jpg",New,in stock,49,35,Shimano,689228687752,ISMBH90SBML200A,BR261K01,Black,,One Size,,,,,,1
BR406Z02     135,Shimano | V-Brake Noodle Noodle 135 Dgr,"Shimano V-Brake Noodle If your V-brake is feeling sluggish, you probably need a new noodle! These are pre-lined and greased with Shimano grease. Choose the correct bend for your need. Most brake cable routings require a 90deg bend, but in tighter spots you can use a 135deg to guarantee smooth routing for great brake performance. Aluminum construction Compatible with 5mm brake cable Pre-lined and greased for slick performance and no drag | Shimano | V-Brake Noodle Noodle 135 Dgr",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Cables,Components > Cables & Housing > Crimps& Ferrules & Guides,https://www.jensonusa.com/shimano-v-brake-noodle-noodle-135-dgr,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/shimano/br406z02-----135.jpg",New,in stock,1.99,,Shimano,22255453493,ASMVBRKC,BR406Z02,Silver,,One Size,,,,,,0
BR406Z02     90,Shimano | V-Brake Noodle Noodle 90 Dgr,"Shimano V-Brake Noodle If your V-brake is feeling sluggish, you probably need a new noodle! These are pre-lined and greased with Shimano grease. Choose the correct bend for your need. Most brake cable routings require a 90deg bend, but in tighter spots you can use a 135deg to guarantee smooth routing for great brake performance. Aluminum construction Compatible with 5mm brake cable Pre-lined and greased for slick performance and no drag | Shimano | V-Brake Noodle Noodle 90 Dgr",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Cables,Components > Cables & Housing > Crimps& Ferrules & Guides,https://www.jensonusa.com/shimano-v-brake-noodle-noodle-90-dgr,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/shimano/br406z02-----90.jpg",New,in stock,1.99,,Shimano,22255453509,ASMVBRKL,BR406Z02,Silver,,One Size,,,,,,0
SE403A05BLK       30.9,Thomson | Elite Setback Seatpost | Black | 30.9 X 410 Mm Setback | Aluminum,"Thomson Elite Setback Seatpost The Elite Post The legendary design and construction of the proven Elite Seatpost by Thomson, in a layback design for riders desiring a bit more setback. The post and cradle are constructed from one piece of 7000-series aluminum. Please note: Thomson does not recommend the use of shims on their seatposts. Second-to-none quality and construction100% made in the USA! All setback posts feature 5/8"" (16mm) of setback About 265g (30. 9mm size) | Thomson | Elite Setback Seatpost | Black | 30. 9 X 410 Mm Setback | Aluminum",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Seatposts,Components > Seatposts > Rigid Posts,https://www.jensonusa.com/thomson-elite-setback-seatpost-black-309-x-410-mm-setback,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/thomson/se403a05-black.jpg",New,in stock,121.95,,Thomson,875850000872,SE403A05BLK       30.9,SE403A05,Black,Aluminum,One Size,,,,,Road,0
SE403A05BLK  27.2 410,Thomson | Elite Setback Seatpost | Black | 27.2 X 410Mm Setback | Aluminum,"Thomson Elite Setback Seatpost The Elite Post The legendary design and construction of the proven Elite Seatpost by Thomson, in a layback design for riders desiring a bit more setback. The post and cradle are constructed from one piece of 7000-series aluminum. Please note: Thomson does not recommend the use of shims on their seatposts. Second-to-none quality and construction100% made in the USA! All setback posts feature 5/8"" (16mm) of setback About 265g (30. 9mm size) | Thomson | Elite Setback Seatpost | Black | 27. 2 X 410Mm Setback | Aluminum",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Seatposts,Components > Seatposts > Rigid Posts,https://www.jensonusa.com/thomson-elite-setback-seatpost-black-272-x-410mm-setback,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/thomson/se403a05-black.jpg",New,in stock,121.95,,Thomson,875850000599,SE403A05BLK  27.2 410,SE403A05,Black,Aluminum,One Size,,,,,Road,0
