id,title,description,google_product_category,product_type,link,image_link,condition,availability,price,sale_price,brand,gtin,mpn,item_group_id,color,material,size,gender,age_group,shipping_weight,expiration_date,Intended_use,sale_flag
GR707B00BLK,Cinelli | Cork Bar Tape Black,"Cinelli Cork Handlebar Tape Put a Cork in it Cinelli is one of the oldest names in cycling, and their handlebar tape's history stretches back to the days of yore! Cinelli's famous tape is still the preferred choice for many pro cyclists. Embellish your classic bike build or give your modern bike that old-school cool with Cinelli Cork bar tape. Cork bar tape has a classic great feel and just the right amount of cushioning and grip. It offers a no-slip grip, with natural sweat absorption and insulative properties, to keep your hands on your bars in ultimate comfort, in any condition! Formulated from a blend of natural cork and synthetic foam, the self-adhesive tape applies easily to your bars and stays there. You can decide how much cushioning you want by stretching or relaxing the tape during wrapping. Each unit contains enough tape for one set of handlebars, as well as finishing tape and plastic end plugs embellished with the Cinelli ""Winged C"" logo. Available in a bevy of colors to match your style. Features The original self-adhesive cork bar tape Natural/Synthetic Formulation Includes ending tape and black plastic end plugs | Cinelli | Cork Bar Tape Black",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Accessories > Bicycle Handlebar Grips & Decor,Components > Grips & Tape > Handlebar Tape,https://www.jensonusa.com/cinelli-cork-bar-tape-midnight-black,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/cinelli/gr707b00-black.jpg",New,in stock,13.99,,Cinelli,8058774823945,NM CORK N,GR707B00,Black,,One Size,,,,,,0
GR707B00LBLU,Cinelli | Cork Bar Tape Blue Prince/light Blue,"Cinelli Cork Handlebar Tape Put a Cork in it Cinelli is one of the oldest names in cycling, and their handlebar tape's history stretches back to the days of yore! Cinelli's famous tape is still the preferred choice for many pro cyclists. Embellish your classic bike build or give your modern bike that old-school cool with Cinelli Cork bar tape. Cork bar tape has a classic great feel and just the right amount of cushioning and grip. It offers a no-slip grip, with natural sweat absorption and insulative properties, to keep your hands on your bars in ultimate comfort, in any condition! Formulated from a blend of natural cork and synthetic foam, the self-adhesive tape applies easily to your bars and stays there. You can decide how much cushioning you want by stretching or relaxing the tape during wrapping. Each unit contains enough tape for one set of handlebars, as well as finishing tape and plastic end plugs embellished with the Cinelli ""Winged C"" logo. Available in a bevy of colors to match your style. Features The original self-adhesive cork bar tape Natural/Synthetic Formulation Includes ending tape and black plastic end plugs | Cinelli | Cork Bar Tape Blue Prince/light Blue",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Accessories > Bicycle Handlebar Grips & Decor,Components > Grips & Tape > Handlebar Tape,https://www.jensonusa.com/cinelli-cork-bar-tape-15mm-heavy-duty,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/cinelli/gr707b00-light-blue.jpg",New,in stock,13.99,,Cinelli,8058774823860,NMCORKBP,GR707B00,Light Blue,,One Size,,,,,,0
GR707B00BLCF,Cinelli | Cork Bar Tape | Blue Jean | Cork,"Cinelli Cork Handlebar Tape Put a Cork in it Cinelli is one of the oldest names in cycling, and their handlebar tape's history stretches back to the days of yore! Cinelli's famous tape is still the preferred choice for many pro cyclists. Embellish your classic bike build or give your modern bike that old-school cool with Cinelli Cork bar tape. Cork bar tape has a classic great feel and just the right amount of cushioning and grip. It offers a no-slip grip, with natural sweat absorption and insulative properties, to keep your hands on your bars in ultimate comfort, in any condition! Formulated from a blend of natural cork and synthetic foam, the self-adhesive tape applies easily to your bars and stays there. You can decide how much cushioning you want by stretching or relaxing the tape during wrapping. Each unit contains enough tape for one set of handlebars, as well as finishing tape and plastic end plugs embellished with the Cinelli ""Winged C"" logo. Available in a bevy of colors to match your style. Features The original self-adhesive cork bar tape Natural/Synthetic Formulation Includes ending tape and black plastic end plugs | Cinelli | Cork Bar Tape | Blue Jean | Cork",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Accessories > Bicycle Handlebar Grips & Decor,Components > Grips & Tape > Handlebar Tape,https://www.jensonusa.com/cinelli-cork-bar-tape-bolt-blue-medium,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/cinelli/gr707b00-blue-jean.jpg",New,in stock,13.99,12.99,Cinelli,8058774823907,NMCORKJ,GR707B00,Blue Jean,,M,,,,,,1
BG310A00     6901,"Phil Wood | Sealed Cartridge Bearing 6901, I.d. 12Mm, O.d. 24Mm, 6Mm","Phil Wood Sealed Cartridge Bearing If youre going to all that trouble to tear down a component for bearing replacement, why not do it right? Phil Wood makes some of the best bearings going and are a perfect upgrade when you seek performance and durability. Bearing Sizes6001 Sealed Cartridge Bearing6902 Sealed Cartridge Bearing6903 Sealed Cartridge Bearing6000 Sealed Cartridge Bearing R8 Sealed Cartridge Bearing6200 Sealed Cartridge Bearing6802, I. D. 15mm, O. D. 24mm, 5mm6901, I. D. 12mm, O. D. 24mm, 6mm | Phil Wood | Sealed Cartridge Bearing 6901, I. d. 12Mm, O. d. 24Mm, 6Mm",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Accessories,Components > Replacement Bearings,https://www.jensonusa.com/phil-wood-sealed-cartridge-bearing-6901-id-12mm-od-24mm-6mm,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/phil-wood/bg310a00.jpg",New,in stock,16.1,13.68,Phil Wood,,PW-43901,BG310A00,,,One Size,male,adult,,,,1
BG310A00          02,Phil Wood | Sealed Cartridge Bearing 6902 Sealed Cartridge Bearing,"Phil Wood Sealed Cartridge Bearing If youre going to all that trouble to tear down a component for bearing replacement, why not do it right? Phil Wood makes some of the best bearings going and are a perfect upgrade when you seek performance and durability. Bearing Sizes6001 Sealed Cartridge Bearing6902 Sealed Cartridge Bearing6903 Sealed Cartridge Bearing6000 Sealed Cartridge Bearing R8 Sealed Cartridge Bearing6200 Sealed Cartridge Bearing6802, I. D. 15mm, O. D. 24mm, 5mm6901, I. D. 12mm, O. D. 24mm, 6mm | Phil Wood | Sealed Cartridge Bearing 6902 Sealed Cartridge Bearing",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Accessories,Components > Replacement Bearings,https://www.jensonusa.com/phil-wood-sealed-cartridge-bearing-6902-sealed-cartridge-bearing,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/phil-wood/bg310a00.jpg",New,in stock,15.25,,Phil Wood,,PW-43902,BG310A00,,,One Size,male,adult,,,,0
PE408Z02          FLO,"Shimano | Spd-Sl Road Cleat Set W/hardware Sm-Sh11 Spd-Sl Cleat Set, Floating Type","Shimano SPD-SL Road Cleat Set W/Hardware Nothing works like Shimano SPD-SL Cleats! Keep your kicks and your pedal engagement fresh by choosing the best cleat on the market. This cleat set includes mounting bolts and hardware. Choose Floating, yellow cleats with 6 degrees of float (recommended), or Fixed, red cleats with zero float. SPD-SL cleats are extra wide, low-profile cleats, made for shoes with the standard Three-hole SPD-SL / Look-style cleat mounts. Shimano SPD-SL Cleat Set W/Hardware Specifications Cleat Bolt Pattern: Three-hole SPD-SL/Look-style cleat mount Float (deg): 6 Deg (yellow), or Fixed (red) Sold as a Pair with hardware | Shimano | Spd-Sl Road Cleat Set W/hardware Sm-Sh11 Spd-Sl Cleat Set, Floating Type",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Drivetrain Parts > Bicycle Pedals,Components > Pedals > Cleats,https://www.jensonusa.com/shimano-spd-sl-road-cleat-set-whardware-sm-sh11-spd-sl-cleat-set-floating-type,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/shimano/pe408z02----------flo.jpg",New,in stock,34,25,Shimano,4524667072973,ISMSH11,PE408Z02,,,One Size,,,,,Road,1
TL305A01          BMX,Park Tool | Fr-6 Fr-6 Freewheel Remover: Bmx,"Park Tool FR-6 Freewheel Remover Heat treated alloy tool steel, one inch base fits wrench or bench vise. Thin wall construction allows use without removal of cones and locknuts. The FR-5 has 12 splines that are approximately 23. 4mm across. Features Removes four-notch BMX / single-speed freewheel from hubs with 1. 37 x 24 TPI threads The FR-6 has four notches approximately 32mm across measured inside to inside and 40mm outside to outside Fits over axles up to 16mm thread diameter Always hold the remover secure to the hub using axle nut or quick release skewer Related Articles: CASSETTE AND FREEWHEEL REMOVAL AND INSTALLATION Manufacturer's Part No: FR-6 UPC: 763477003508 | Park Tool | Fr-6 Fr-6 Freewheel Remover: Bmx",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Accessories > Bicycle Tools,Accessories > Tools & Maintenance > Tools for the Shop > Freehub & Cog Tools,https://www.jensonusa.com/park-tool-fr-6-fr-6-freewheel-remover-bmx,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/park-tool/tl305a01.jpg",New,in stock,25.95,,Park Tool,763477003508,FR-6C,TL305A01,,,One Size,,,,,,0
HS400Z00BLK  11/8,"Thomson | Headset Top Cap | Black | 1 1/8""","Precision machined and laser etched in the USA by Thomson, this beautiful and durable aluminum top cap for threadless headsets will add classic style to your bike. Put the finishing touch on your Thomson setup! Suitable for any 1-1/8"" threadless steerer. Note: top cap bolt / star nut not included. | Thomson | Headset Top Cap | Black | 1 1/8""",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts,Components > Headsets > Top Caps,https://www.jensonusa.com/thomson-headset-top-cap-black-1-18,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/thomson/hs400z00-black.jpg",New,in stock,9.95,,Thomson,875850000384,HS400Z00BLK  11/8,HS400Z00,Black,,One Size,,adult,,,,0
CA298A02SS   4445 SHIM,"Jagwire | Sport Derailleur Cable, Tandem Stainless, 4445Mm, Shimano Head","Jagwire Slick Derailleur Cables are slick wires that are die-extruded and pre-stretched for smooth operation. Single-ended wires feature a weld-cut for ease of installation Unit of Sale: Each Width: 1. 1 mm | Jagwire | Sport Derailleur Cable, Tandem Stainless, 4445Mm, Shimano Head",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Drivetrain Parts > Bicycle Derailleurs,Components > Cables & Housing > Shifter Cables & Housing,https://www.jensonusa.com/jagwire-sport-derailleur-cable-tandem-stainless-4445mm-shimano-head,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/jagwire/ca298a02.jpg",New,in stock,11.99,,Jagwire,4715910021163,CA298A02SS   4445 SHIM,CA298A02,Silver,,One Size,,,,,Road,0
BB283D00          6873,"Race Face | Team Xc X-Type Bottom Bracket 68/73Mm, External Bottom Bracket","Race Face Team XC External Bottom Bracket Keep it spinning The high-end Race Face X-Type Team XC external bottom bracket has been totally redesigned and upgraded! Bearings, sealing and machining precision have all been improved to create a smoother-running, longer-lasting BB that is now fully-serviceable! Including cryogenically-treated, black oxide-coated races, with a premium bearing design that utilizes grade 5 chromium steel ball bearings, keeping things spinning smoothly for seasons to come. Still interchangeable with all current and past Race Face external BB cranksets, as well as select Shimano and FSA external mountain BB systems with 24mm diameter spindles. Features Compatible with common bottom bracket standards 68 and 73mm wide bottom bracket shells with BSA threading Highly-durable cryogenically treated, black oxide-coated races Premium bearing design using grade 5 chromium steel ball bearings Injected with Phil Wood waterproof grease for long-lasting lubrication Includes bottom bracket spacers to dial-in the perfect adjustment | Race Face | Team Xc X-Type Bottom Bracket 68/73Mm, External Bottom Bracket",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Drivetrain Parts > Bicycle Bottom Brackets,Components > Drivetrain > Bottom Brackets > Threaded,https://www.jensonusa.com/race-face-team-xc-x-type-bottom-bracket-6873mm-external-bottom-bracket,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/race-face/bb283d00.jpg",New,in stock,44.99,,Race Face,821973139760,BBXTTMXC,BB283D00,Aluminum,,One Size,,,,,,0
CS307C00STEE 15T,"Shimano | Mx66 Bmx Single Cassette Cogs Steel, 15 Tooth","Replacement cogs for Shimano cassette hubs (or other 1 gear applications, like singlespeed MTBs) Fits standard Shimano cassette bodies Steel 3/32"" NOT FOR USE WITH 1/8"" CHAINS | Shimano | Mx66 Bmx Single Cassette Cogs Steel, 15 Tooth",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Drivetrain Parts > Bicycle Cassettes & Freewheels,Components > Drivetrain > Cassettes & Cogs > Single Speed Cogs,https://www.jensonusa.com/shimano-mx66-bmx-single-cassette-cogs-steel-15-tooth,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/shimano/cs307c00.jpg",New,in stock,15,,Shimano,689228007482,ICSMX6615,CS307C00,,,One Size,,,,,,0
CS307C00STEE 18T,"Shimano | Mx66 Bmx Single Cassette Cogs Steel, 18 Tooth","Replacement cogs for Shimano cassette hubs (or other 1 gear applications, like singlespeed MTBs) Fits standard Shimano cassette bodies Steel 3/32"" NOT FOR USE WITH 1/8"" CHAINS | Shimano | Mx66 Bmx Single Cassette Cogs Steel, 18 Tooth",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Drivetrain Parts > Bicycle Cassettes & Freewheels,Components > Drivetrain > Cassettes & Cogs > Single Speed Cogs,https://www.jensonusa.com/shimano-mx66-bmx-single-cassette-cogs-steel-18-tooth,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/shimano/cs307c00.jpg",New,in stock,15,,Shimano,6892280075052,ICSMX6618,CS307C00,,,One Size,,,,,,0
GI302M01BL/B,Park Tool | Bo-2 Bottle Opener Bo-2 Bottle Opener,The Park Tools BO-2 bottle opener is a handy dishwasher safe bottle opener. | Park Tool | Bo-2 Bottle Opener Bo-2 Bottle Opener,Home & Garden > Kitchen & Dining > Food & Beverage Carriers > Water Bottles,Accessories > Books& Movies & Gifts > Beverage Accessories,https://www.jensonusa.com/park-tool-bo-2-bottle-opener-bo-2-bottle-opener,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/park-tool/gi302m01.jpg",New,in stock,9.95,,Park Tool,763477000767,BO-2,GI302M01,Blue,,One Size,,,,,,0
TL301J00RED,"Park Tool | Spa-1 And Spa-2 Pin Spanners Spa-2, Red","Park Toll SPA-1, SPA-2 Pin spanners The green handled SPA-1 fits adjusting cup on many adjustable type bottom brackets. The pin ends are round with a diameter of 2. 9mm. Park Tool Pin Spanners have been designed to give maximum usefulness and versatility at the lowest possible cost. Tough, high carbon tool steel is used on each tool to ensure long life. Handle is vinyl coated to give a good grip. Each Pin Spanner is color coated for easy recognition. The red handled SPA-2 will fit one-key release retaining rings on Shimano® and Campagnolo® cranksets and the adjusting cone on most freewheel clusters (not freehubs). Adjusts to a wide range of pin hole widths. Pin diameter is nominally 0. 090"" (2. 3mm). Tough, high carbon tool steel is used on each tool to ensure long life. Handle is vinyl coated to give a good grip. Each Pin Spanner is color coated for easy recognition. Features Vinyl coated for good grip High carbon steel is super durable SPA-1 round pin ends are 2. 9mm diameter SPA-2 round pin ends are 2. 3mm diameter Related Articles: FREEWHEEL-DESTRUCTIVE REMOVAL CRANK REMOVAL AND INSTALLATION: SELF EXTRACTING BOTTOM BRACKET SERVICE: ADJUSTABLE TYPE CHAIN TENSION TANDEM FRONT END Manufacturer's Part No: SPA-1, SPA-2 UPC: 763477006738, 763477006752 | Park Tool | Spa-1 And Spa-2 Pin Spanners Spa-2, Red",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Accessories > Bicycle Tools,Accessories > Tools & Maintenance > Tools for the Shop > Bottom Bracket Tools,https://www.jensonusa.com/park-tool-spa-1-and-spa-2-pin-spanners-spa-2-red,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/park-tool/tl301j00red.jpg",New,in stock,13.95,,Park Tool,763477006752,SPA-2,TL301J00,Red,,One Size,,,,,,0
TL301J00GRN,"Park Tool | Spa-1 And Spa-2 Pin Spanners Spa-1, Green","Park Toll SPA-1, SPA-2 Pin spanners The green handled SPA-1 fits adjusting cup on many adjustable type bottom brackets. The pin ends are round with a diameter of 2. 9mm. Park Tool Pin Spanners have been designed to give maximum usefulness and versatility at the lowest possible cost. Tough, high carbon tool steel is used on each tool to ensure long life. Handle is vinyl coated to give a good grip. Each Pin Spanner is color coated for easy recognition. The red handled SPA-2 will fit one-key release retaining rings on Shimano® and Campagnolo® cranksets and the adjusting cone on most freewheel clusters (not freehubs). Adjusts to a wide range of pin hole widths. Pin diameter is nominally 0. 090"" (2. 3mm). Tough, high carbon tool steel is used on each tool to ensure long life. Handle is vinyl coated to give a good grip. Each Pin Spanner is color coated for easy recognition. Features Vinyl coated for good grip High carbon steel is super durable SPA-1 round pin ends are 2. 9mm diameter SPA-2 round pin ends are 2. 3mm diameter Related Articles: FREEWHEEL-DESTRUCTIVE REMOVAL CRANK REMOVAL AND INSTALLATION: SELF EXTRACTING BOTTOM BRACKET SERVICE: ADJUSTABLE TYPE CHAIN TENSION TANDEM FRONT END Manufacturer's Part No: SPA-1, SPA-2 UPC: 763477006738, 763477006752 | Park Tool | Spa-1 And Spa-2 Pin Spanners Spa-1, Green",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Accessories > Bicycle Tools,Accessories > Tools & Maintenance > Tools for the Shop > Bottom Bracket Tools,https://www.jensonusa.com/park-tool-spa-1-and-spa-2-pin-spanners-spa-1-green,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/park-tool/tl301j00grn.jpg",New,in stock,13.95,,Park Tool,763477006738,SPA-1,TL301J00,Green,,One Size,,,,,,0
TI299A01BLK  26   2.4,"Maxxis | Ardent 26"" Tire 2.40"" Dc/exo/tr","The Maxxis Ardent has an aggressive tread in a high volume casing. It was designed with getting exception traction. The Ardent has large block style side knobs offering numerous edges for high speed cornering. The center tread is ideal for braking and accelerating traction. It also features ramped knobs to minimize rolling resistance. This version of the Ardent features a high TPI and special compound configuration to provide lightweight advantages and exceptional traction. 26x2. 25Folding bead Published weight 650 grams Recommended pressure 35-65 psi Compound - 60a Single ply26x2. 4Folding bead Published weight 815 grams Recommended pressure 35-65 psi Compound 60a Single ply29x2. 25Folding bead Published weight 770 grams Recommended pressure 30-55 psi Compound 60a Single ply29x2. 4Folding bead Published weight 795 grams Recommended pressure 30-55 psi Compound 60a Single ply Tires labeled ""EXO"" feature a proprietary woven material based sidewall, offering increased abrasion and cut resistance for optimal performance. Tires labeld ""MAXXPRO"" offer Maxxis 60A compound, allowing a softer (more grip) tire to still offer long tread life. | Maxxis | Ardent 26"" Tire 2. 40"" Dc/exo/tr",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Tires,Components > Bike Tires > Dirt Tires,https://www.jensonusa.com/maxxis-ardent-26-tire-240-dcexotr,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/product-images---all-assets/maxxis/ti299a01-black.jpg",New,in stock,69,41.94,Maxxis,4717784020686,TB72917100,TI299A01,Black,,One Size,,,,,Mountain,1
HU298B02BLK  150  REAR,Dt Swiss | Xd End Caps For 135Mm Hubs | Black | 135Mm Qr: 240/350/440 Hub,"DT SWISS XD END CAPS FOR 135MM HUBSCOMING TO AN ENDThere are many situations where you would want end caps for your wheels. Often times, riders will have multiple bikes but will have one pair of wheels that have the potential to fit both frames. All that is need is a pair of end caps so the wheels will fit properly. The DT Swiss XD End Caps For 135mm Hubs is designed to work with DT Swiss 240, 350, and 440 hubs. There are multiple sizes, so make sure you choose the pair that works best with your frame and axle standards. Features Designed to work with 240, 350, and 440 hubs | Dt Swiss | Xd End Caps For 135Mm Hubs | Black | 135Mm Qr: 240/350/440 Hub",Sporting Goods > Outdoor Recreation > Cycling > Bicycle Parts > Bicycle Wheel Parts,Components > Wheel Parts > End Caps & Conversion Kits,https://www.jensonusa.com/dt-swiss-xd-end-caps-for-135mm-hubs-black-135mm-qr-240350440-hub,"https://www.jensonusa.com/cdn-cgi/image/width=1000,quality=70,format=auto,fit=contain/globalassets/digizuite/40521-en-hu298b02_qr.jpg",New,in stock,47.7,,DT Swiss,7630024346148,HWGXXX00S3115S,HU298B02,Black,,One Size,,adult,,,,0